FECHA,TIMESTAMP,TIPO_VIAJERO,PUNTO_TURISTICO,RESIDENCIA,VIAJEROS,PERNOCTACIONES
2015-10-01,1443650400000,Nacional,Vitoria-Gastéiz,Residentes en España,20044,35088
2015-11-01,1446332400000,Nacional,Vitoria-Gastéiz,Residentes en España,15091,26192
2015-12-01,1448924400000,Nacional,Vitoria-Gastéiz,Residentes en España,19596,38756
2016-01-01,1451602800000,Nacional,Vitoria-Gastéiz,Residentes en España,14221,23171
2016-02-01,1454281200000,Nacional,Vitoria-Gastéiz,Residentes en España,12736,22006
2016-03-01,1456786800000,Nacional,Vitoria-Gastéiz,Residentes en España,17984,32947
2016-04-01,1459461600000,Nacional,Vitoria-Gastéiz,Residentes en España,15841,23152
2016-05-01,1462053600000,Nacional,Vitoria-Gastéiz,Residentes en España,18424,29639
2016-06-01,1464732000000,Nacional,Vitoria-Gastéiz,Residentes en España,18146,29654
2016-07-01,1467324000000,Nacional,Vitoria-Gastéiz,Residentes en España,22157,41030
2016-08-01,1470002400000,Nacional,Vitoria-Gastéiz,Residentes en España,22398,50378
2016-09-01,1472680800000,Nacional,Vitoria-Gastéiz,Residentes en España,20961,40418
2016-10-01,1475272800000,Nacional,Vitoria-Gastéiz,Residentes en España,20663,38743
2016-11-01,1477954800000,Nacional,Vitoria-Gastéiz,Residentes en España,15302,26337
2016-12-01,1480546800000,Nacional,Vitoria-Gastéiz,Residentes en España,17858,31122
2017-01-01,1483225200000,Nacional,Vitoria-Gastéiz,Residentes en España,12576,22066
2017-02-01,1485903600000,Nacional,Vitoria-Gastéiz,Residentes en España,15868,30017
2017-03-01,1488322800000,Nacional,Vitoria-Gastéiz,Residentes en España,16908,29509
2017-04-01,1490997600000,Nacional,Vitoria-Gastéiz,Residentes en España,20232,38550
2017-05-01,1493589600000,Nacional,Vitoria-Gastéiz,Residentes en España,18274,34156
2017-06-01,1496268000000,Nacional,Vitoria-Gastéiz,Residentes en España,18023,34280
2017-07-01,1498860000000,Nacional,Vitoria-Gastéiz,Residentes en España,20711,41467
2017-08-01,1501538400000,Nacional,Vitoria-Gastéiz,Residentes en España,21917,48916
2017-09-01,1504216800000,Nacional,Vitoria-Gastéiz,Residentes en España,19905,38367
2017-10-01,1506808800000,Nacional,Vitoria-Gastéiz,Residentes en España,19785,36630
2017-11-01,1509490800000,Nacional,Vitoria-Gastéiz,Residentes en España,17558,33064
2017-12-01,1512082800000,Nacional,Vitoria-Gastéiz,Residentes en España,17951,34045
2018-01-01,1514761200000,Nacional,Vitoria-Gastéiz,Residentes en España,14046,25923
2018-02-01,1517439600000,Nacional,Vitoria-Gastéiz,Residentes en España,13795,25749
2018-03-01,1519858800000,Nacional,Vitoria-Gastéiz,Residentes en España,18884,35044
2018-04-01,1522533600000,Nacional,Vitoria-Gastéiz,Residentes en España,18275,35316
2018-05-01,1525125600000,Nacional,Vitoria-Gastéiz,Residentes en España,20220,35451
2018-06-01,1527804000000,Nacional,Vitoria-Gastéiz,Residentes en España,19627,36522
2018-07-01,1530396000000,Nacional,Vitoria-Gastéiz,Residentes en España,19277,39656
2018-08-01,1533074400000,Nacional,Vitoria-Gastéiz,Residentes en España,21686,50616
2018-09-01,1535752800000,Nacional,Vitoria-Gastéiz,Residentes en España,19573,39822
2018-10-01,1538344800000,Nacional,Vitoria-Gastéiz,Residentes en España,20502,39775
2018-11-01,1541026800000,Nacional,Vitoria-Gastéiz,Residentes en España,17357,33947
2018-12-01,1543618800000,Nacional,Vitoria-Gastéiz,Residentes en España,18471,35528
2019-01-01,1546297200000,Nacional,Vitoria-Gastéiz,Residentes en España,13752,26816
2019-02-01,1548975600000,Nacional,Vitoria-Gastéiz,Residentes en España,14648,26687
2019-03-01,1551394800000,Nacional,Vitoria-Gastéiz,Residentes en España,18310,33705
2019-04-01,1554069600000,Nacional,Vitoria-Gastéiz,Residentes en España,18716,35789
2019-05-01,1556661600000,Nacional,Vitoria-Gastéiz,Residentes en España,18157,35141
2019-06-01,1559340000000,Nacional,Vitoria-Gastéiz,Residentes en España,19100,35778
2019-07-01,1561932000000,Nacional,Vitoria-Gastéiz,Residentes en España,19227,39358
2019-08-01,1564610400000,Nacional,Vitoria-Gastéiz,Residentes en España,22113,48714
2019-09-01,1567288800000,Nacional,Vitoria-Gastéiz,Residentes en España,19288,38074
2019-10-01,1569880800000,Nacional,Vitoria-Gastéiz,Residentes en España,20233,37854
2019-11-01,1572562800000,Nacional,Vitoria-Gastéiz,Residentes en España,17911,33967
2019-12-01,1575154800000,Nacional,Vitoria-Gastéiz,Residentes en España,18649,34430
2020-01-01,1577833200000,Nacional,Vitoria-Gastéiz,Residentes en España,14339,26286
2020-02-01,1580511600000,Nacional,Vitoria-Gastéiz,Residentes en España,15673,28766
2020-03-01,1583017200000,Nacional,Vitoria-Gastéiz,Residentes en España,6591,14154
2020-04-01,1585692000000,Nacional,Vitoria-Gastéiz,Residentes en España,0,0
2020-05-01,1588284000000,Nacional,Vitoria-Gastéiz,Residentes en España,,
2020-06-01,1590962400000,Nacional,Vitoria-Gastéiz,Residentes en España,,
2020-07-01,1593554400000,Nacional,Vitoria-Gastéiz,Residentes en España,10923,21014
2020-08-01,1596232800000,Nacional,Vitoria-Gastéiz,Residentes en España,12474,25956
2020-09-01,1598911200000,Nacional,Vitoria-Gastéiz,Residentes en España,10822,21729
2020-10-01,1601503200000,Nacional,Vitoria-Gastéiz,Residentes en España,10615,20797
2020-11-01,1604185200000,Nacional,Vitoria-Gastéiz,Residentes en España,5506,13407
2020-12-01,1606777200000,Nacional,Vitoria-Gastéiz,Residentes en España,6049,12713
2021-01-01,1609455600000,Nacional,Vitoria-Gastéiz,Residentes en España,6023,11844
2021-02-01,1612134000000,Nacional,Vitoria-Gastéiz,Residentes en España,5979,12994
2021-03-01,1614553200000,Nacional,Vitoria-Gastéiz,Residentes en España,9124,18143
2021-04-01,1617228000000,Nacional,Vitoria-Gastéiz,Residentes en España,9879,19066
2021-05-01,1619820000000,Nacional,Vitoria-Gastéiz,Residentes en España,11338,21426
2021-06-01,1622498400000,Nacional,Vitoria-Gastéiz,Residentes en España,14399,28457
2021-07-01,1625090400000,Nacional,Vitoria-Gastéiz,Residentes en España,19567,36975
2021-08-01,1627768800000,Nacional,Vitoria-Gastéiz,Residentes en España,26661,55534
2021-09-01,1630447200000,Nacional,Vitoria-Gastéiz,Residentes en España,18647,38219
2021-10-01,1633039200000,Nacional,Vitoria-Gastéiz,Residentes en España,21467,43233
2021-11-01,1635721200000,Nacional,Vitoria-Gastéiz,Residentes en España,16728,34905
2021-12-01,1638313200000,Nacional,Vitoria-Gastéiz,Residentes en España,16766,34707
2022-01-01,1640991600000,Nacional,Vitoria-Gastéiz,Residentes en España,11658,24325
2022-02-01,1643670000000,Nacional,Vitoria-Gastéiz,Residentes en España,14676,29943
2022-03-01,1646089200000,Nacional,Vitoria-Gastéiz,Residentes en España,18452,36735
2022-04-01,1648764000000,Nacional,Vitoria-Gastéiz,Residentes en España,19741,39175
2022-05-01,1651356000000,Nacional,Vitoria-Gastéiz,Residentes en España,19550,39187
2022-06-01,1654034400000,Nacional,Vitoria-Gastéiz,Residentes en España,18710,38820
2022-07-01,1656626400000,Nacional,Vitoria-Gastéiz,Residentes en España,21469,43786
2022-08-01,1659304800000,Nacional,Vitoria-Gastéiz,Residentes en España,23797,53082
2022-09-01,1661983200000,Nacional,Vitoria-Gastéiz,Residentes en España,20487,41399
2022-10-01,1664575200000,Nacional,Vitoria-Gastéiz,Residentes en España,20978,42943
2022-11-01,1667257200000,Nacional,Vitoria-Gastéiz,Residentes en España,17948,36451
2022-12-01,1669849200000,Nacional,Vitoria-Gastéiz,Residentes en España,19285,38040
2023-01-01,1672527600000,Nacional,Vitoria-Gastéiz,Residentes en España,17140,33052
2023-02-01,1675206000000,Nacional,Vitoria-Gastéiz,Residentes en España,15741,32075
2023-03-01,1677625200000,Nacional,Vitoria-Gastéiz,Residentes en España,19246,38352
2023-04-01,1680300000000,Nacional,Vitoria-Gastéiz,Residentes en España,19750,40897
2023-05-01,1682892000000,Nacional,Vitoria-Gastéiz,Residentes en España,19318,38533
2023-06-01,1685570400000,Nacional,Vitoria-Gastéiz,Residentes en España,19566,40240
2023-07-01,1688162400000,Nacional,Vitoria-Gastéiz,Residentes en España,21296,44949
2023-08-01,1690840800000,Nacional,Vitoria-Gastéiz,Residentes en España,26397,61155
2023-09-01,1693519200000,Nacional,Vitoria-Gastéiz,Residentes en España,23431,50753
2023-10-01,1696111200000,Nacional,Vitoria-Gastéiz,Residentes en España,21878,49679
2023-11-01,1698793200000,Nacional,Vitoria-Gastéiz,Residentes en España,20474,43852
2023-12-01,1701385200000,Nacional,Vitoria-Gastéiz,Residentes en España,20667,43134
2024-01-01,1704063600000,Nacional,Vitoria-Gastéiz,Residentes en España,16373,35140
2024-02-01,1706742000000,Nacional,Vitoria-Gastéiz,Residentes en España,17131,34876
2024-03-01,1709247600000,Nacional,Vitoria-Gastéiz,Residentes en España,22857,44040
2006-01-01,1136070000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,1925,4314
2006-02-01,1138748400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2252,4837
2006-03-01,1141167600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2922,6009
2006-04-01,1143842400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3345,6992
2006-05-01,1146434400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3694,8030
2006-06-01,1149112800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3913,7143
2006-07-01,1151704800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4529,8738
2006-08-01,1154383200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,5274,8419
2006-09-01,1157061600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3506,7645
2006-10-01,1159653600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3813,6698
2006-11-01,1162335600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2968,6047
2006-12-01,1164927600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2097,4199
2007-01-01,1167606000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2157,4630
2007-02-01,1170284400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2636,5621
2007-03-01,1172703600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3925,7894
2007-04-01,1175378400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3847,7515
2007-05-01,1177970400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3859,7993
2007-06-01,1180648800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4020,7459
2007-07-01,1183240800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4953,9331
2007-08-01,1185919200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,5430,8690
2007-09-01,1188597600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,6353,12219
2007-10-01,1191189600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4045,8689
2007-11-01,1193871600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2914,6622
2007-12-01,1196463600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2216,4696
2008-01-01,1199142000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2922,5560
2008-02-01,1201820400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,1991,4086
2008-03-01,1204326000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2439,4241
2008-04-01,1207000800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2975,5256
2008-05-01,1209592800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3615,7116
2008-06-01,1212271200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4035,7934
2008-07-01,1214863200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,4910,9597
2008-08-01,1217541600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,6107,10178
2008-09-01,1220220000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3788,7395
2008-10-01,1222812000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3435,8086
2008-11-01,1225494000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2402,5148
2008-12-01,1228086000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,1742,3858
2009-01-01,1230764400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,1834,3708
2009-02-01,1233442800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,1845,4003
2009-03-01,1235862000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2486,5724
2009-04-01,1238536800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2524,5333
2009-05-01,1241128800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3378,6796
2009-06-01,1243807200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2874,5887
2009-07-01,1246399200000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,5687,10769
2009-08-01,1249077600000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,7158,10193
2009-09-01,1251756000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3937,7307
2009-10-01,1254348000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3554,7831
2009-11-01,1257030000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2555,6476
2009-12-01,1259622000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2079,4168
2010-01-01,1262300400000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2254,4673
2010-02-01,1264978800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2239,4537
2010-03-01,1267398000000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,2389,5733
2010-04-01,1270072800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3278,5767
2010-05-01,1272664800000,Nacional,Vitoria-Gastéiz,Residentes en el extranjero,3757,7377
